# time[s],x[m],y[m],z[m],vx[m/s],vy[m/s],vz[m/s],qw,qx,qy,qz,wx[rad/s],wy[rad/s],wz[rad/s],rpm1,rpm2,rpm3,rpm4
5.921200000005773928e-02,-2.184560988098382950e-03,2.766471588984131813e-03,6.997913718223571777e-01,2.564457710832357407e-03,-1.121612917631864548e-02,-7.644474972039461136e-03,9.999963641166687012e-01,1.041497234837152064e-04,-2.270120196044445038e-03,-3.137406893074512482e-04,-7.236123267649055557e-02,-2.165786238071029744e-03,2.778333860668378424e-02,1.880800000000000000e+04,1.994000000000000000e+04,2.073900000000000000e+04,1.922400000000000000e+04
6.118500000005588219e-02,-2.184560988098382950e-03,2.766471588984131813e-03,6.997913718223571777e-01,2.564457710832357407e-03,-1.121612917631864548e-02,-7.644474972039461136e-03,9.999963641166687012e-01,1.041497234837152064e-04,-2.270120196044445038e-03,-3.137406893074512482e-04,-6.959675495169061199e-02,2.830117155529827608e-02,5.759833622996176489e-02,1.878500000000000000e+04,1.992600000000000000e+04,2.076100000000000000e+04,1.924900000000000000e+04
6.315800000005401815e-02,-2.079740865156054497e-03,2.327403286471962929e-03,6.998713612556457520e-01,2.636630088090896606e-03,-1.228094007819890976e-02,-6.151723675429821014e-03,9.999964833259582520e-01,2.873300581995863467e-05,-2.240079455077648163e-03,-1.994090998778119683e-04,-6.057664498434905259e-02,4.788650762017494789e-02,4.415981314877256286e-02,1.876700000000000000e+04,1.991300000000000000e+04,2.076100000000000000e+04,1.923000000000000000e+04
6.517500000004657068e-02,-2.079740865156054497e-03,2.327403286471962929e-03,6.998713612556457520e-01,2.636630088090896606e-03,-1.228094007819890976e-02,-6.151723675429821014e-03,9.999964833259582520e-01,2.873300581995863467e-05,-2.240079455077648163e-03,-1.994090998778119683e-04,-4.441161919102875472e-02,2.638511661655413426e-02,1.127882219221643459e-02,1.882000000000000000e+04,1.990000000000000000e+04,2.075400000000000000e+04,1.922400000000000000e+04
6.714199999999255486e-02,-2.069548936560750008e-03,2.278275089338421822e-03,6.998474001884460449e-01,2.459404291585087776e-03,-1.228312961757183075e-02,-5.822390783578157425e-03,9.999966621398925781e-01,-8.366290421690791845e-05,-2.160972915589809418e-03,-1.302993914578109980e-04,-4.439417964707793873e-02,-7.349500173007803526e-03,-8.356622392897104790e-04,1.881400000000000000e+04,1.988700000000000000e+04,2.080400000000000000e+04,1.920600000000000000e+04
6.908499999996274565e-02,-2.069548936560750008e-03,2.278275089338421822e-03,6.998474001884460449e-01,2.459404291585087776e-03,-1.228312961757183075e-02,-5.822390783578157425e-03,9.999966621398925781e-01,-8.366290421690791845e-05,-2.160972915589809418e-03,-1.302993914578109980e-04,-6.144717408804711151e-02,1.181453030927645921e-03,8.534391516551796675e-03,1.880800000000000000e+04,1.989300000000000000e+04,2.079700000000000000e+04,1.923000000000000000e+04
7.105799999996088856e-02,-2.069548936560750008e-03,2.278275089338421822e-03,6.998474001884460449e-01,2.459404291585087776e-03,-1.228312961757183075e-02,-5.822390783578157425e-03,9.999966621398925781e-01,-8.366290421690791845e-05,-2.160972915589809418e-03,-1.302993914578109980e-04,-5.003617796257327915e-02,3.967018544290052545e-02,1.281570462934836620e-03,1.882000000000000000e+04,1.988000000000000000e+04,2.078200000000000000e+04,1.919300000000000000e+04
7.302800000004935899e-02,-2.029241295531392097e-03,2.111628185957670212e-03,6.999143958091735840e-01,2.382096601650118828e-03,-1.261837128549814224e-02,-6.214087828993797302e-03,9.999966025352478027e-01,-1.839238393586128950e-04,-2.165467943996191025e-03,-1.244079758180305362e-04,-2.578662109582926382e-02,7.257497632110464225e-02,-1.956456132777945056e-02,1.880200000000000000e+04,1.986700000000000000e+04,2.079700000000000000e+04,1.921200000000000000e+04
7.504500000004191151e-02,-2.020048443228006363e-03,2.061183331534266472e-03,6.998885273933410645e-01,2.214258071035146713e-03,-1.260419003665447235e-02,-6.722651887685060501e-03,9.999968409538269043e-01,-2.703715581446886063e-04,-2.070392481982707977e-03,-1.344460033578798175e-04,-5.008215390178267189e-03,8.549416218378237675e-02,-2.293951255642581039e-02,1.878500000000000000e+04,1.987400000000000000e+04,2.080400000000000000e+04,1.924300000000000000e+04
7.700800000003073242e-02,-2.020048443228006363e-03,2.061183331534266472e-03,6.998885273933410645e-01,2.214258071035146713e-03,-1.260419003665447235e-02,-6.722651887685060501e-03,9.999968409538269043e-01,-2.703715581446886063e-04,-2.070392481982707977e-03,-1.344460033578798175e-04,7.396999627614238813e-03,8.374143600186034764e-02,-1.481809670190449048e-02,1.878500000000000000e+04,1.988000000000000000e+04,2.081100000000000000e+04,1.923000000000000000e+04
7.894999999995343243e-02,-2.011514268815517426e-03,2.010808791965246201e-03,6.998611092567443848e-01,2.052755327895283699e-03,-1.258307602256536484e-02,-6.979570724070072174e-03,9.999971389770507812e-01,-2.749387931544333696e-04,-1.902432413771748543e-03,-1.745374320307746530e-04,1.193485447605462622e-02,8.858930464742927058e-02,-2.321852653428744737e-02,1.878500000000000000e+04,1.988000000000000000e+04,2.081100000000000000e+04,1.918100000000000000e+04
8.092799999995622939e-02,-2.011514268815517426e-03,2.010808791965246201e-03,6.998611092567443848e-01,2.052755327895283699e-03,-1.258307602256536484e-02,-6.979570724070072174e-03,9.999971389770507812e-01,-2.749387931544333696e-04,-1.902432413771748543e-03,-1.745374320307746530e-04,2.698616502685519808e-02,9.593540148781747046e-02,-4.586073668630333972e-02,1.876700000000000000e+04,1.986700000000000000e+04,2.079000000000000000e+04,1.925500000000000000e+04
8.289199999999255497e-02,-2.003606874495744705e-03,1.960520399734377861e-03,6.998345255851745605e-01,1.901149516925215721e-03,-1.256112940609455109e-02,-6.308805197477340698e-03,9.999974370002746582e-01,-2.416337229078635573e-04,-1.721561420708894730e-03,-2.343492524232715368e-04,4.088938475112800786e-02,9.033623013160196891e-02,-5.406948133803864132e-02,1.875000000000000000e+04,1.988700000000000000e+04,2.081100000000000000e+04,1.926100000000000000e+04
8.491500000003725235e-02,-2.003606874495744705e-03,1.960520399734377861e-03,6.998345255851745605e-01,1.901149516925215721e-03,-1.256112940609455109e-02,-6.308805197477340698e-03,9.999974370002746582e-01,-2.416337229078635573e-04,-1.721561420708894730e-03,-2.343492524232715368e-04,5.756952415591846950e-02,8.195872429053971397e-02,-2.784601859965232101e-02,1.875000000000000000e+04,1.990700000000000000e+04,2.079700000000000000e+04,1.928600000000000000e+04
8.687699999997858247e-02,-1.996282022446393967e-03,1.910315244458615780e-03,6.998121142387390137e-01,1.761729363352060318e-03,-1.254168897867202759e-02,-4.911403171718120575e-03,9.999977350234985352e-01,-1.507041015429422259e-04,-1.545892679132521152e-03,-3.247926069889217615e-04,6.328293680051996772e-02,1.063454651623418346e-01,2.604318129675017163e-02,1.873200000000000000e+04,1.990700000000000000e+04,2.076800000000000000e+04,1.929800000000000000e+04
8.881599999999162387e-02,-1.996282022446393967e-03,1.910315244458615780e-03,6.998121142387390137e-01,1.761729363352060318e-03,-1.254168897867202759e-02,-4.911403171718120575e-03,9.999977350234985352e-01,-1.507041015429422259e-04,-1.545892679132521152e-03,-3.247926069889217615e-04,6.699784678409874406e-02,1.554335660992253176e-01,6.600988475989580384e-02,1.873200000000000000e+04,1.990000000000000000e+04,2.078200000000000000e+04,1.931700000000000000e+04
9.079099999996834147e-02,-1.989485463127493858e-03,1.860172953456640244e-03,6.997950077056884766e-01,1.637123292312026024e-03,-1.252978015691041946e-02,-3.651111386716365814e-03,9.999980926513671875e-01,-2.283897629240527749e-05,-1.304321456700563431e-03,-2.543014124967157841e-04,9.722840780894297097e-02,1.739211638075281174e-01,5.321210991460125633e-02,1.875000000000000000e+04,1.990000000000000000e+04,2.076800000000000000e+04,1.930500000000000000e+04
9.276100000005681190e-02,-1.989485463127493858e-03,1.860172953456640244e-03,6.997950077056884766e-01,1.637123292312026024e-03,-1.252978015691041946e-02,-3.651111386716365814e-03,9.999980926513671875e-01,-2.283897629240527749e-05,-1.304321456700563431e-03,-2.543014124967157841e-04,1.312168763854031639e-01,1.585129792676839289e-01,1.019700558583151728e-02,1.873200000000000000e+04,1.988700000000000000e+04,2.081100000000000000e+04,1.928600000000000000e+04
9.478200000000651382e-02,-1.983141060918569565e-03,1.810057437978684902e-03,6.997802257537841797e-01,1.534956390969455242e-03,-1.252794172614812851e-02,-3.750948235392570496e-03,9.999984502792358398e-01,1.890133135020732880e-04,-9.688151767477393150e-04,-1.733589451760053635e-04,1.450210556454494260e-01,1.387754269017524300e-01,-2.795275466316160442e-03,1.873200000000000000e+04,1.985400000000000000e+04,2.081800000000000000e+04,1.929800000000000000e+04
9.674899999995249800e-02,-1.983141060918569565e-03,1.810057437978684902e-03,6.997802257537841797e-01,1.534956390969455242e-03,-1.252794172614812851e-02,-3.750948235392570496e-03,9.999984502792358398e-01,1.890133135020732880e-04,-9.688151767477393150e-04,-1.733589451760053635e-04,1.355957540406307338e-01,1.327698155512987976e-01,2.071057364030018735e-02,1.876700000000000000e+04,1.986700000000000000e+04,2.081100000000000000e+04,1.931700000000000000e+04
9.868500000005588080e-02,-1.977151958271861076e-03,1.759916311129927635e-03,6.997645497322082520e-01,1.459385617636144161e-03,-1.254245266318321228e-02,-4.083897452801465988e-03,9.999986290931701660e-01,4.713573143817484379e-04,-6.929017836228013039e-04,-1.616208610357716680e-04,1.259273141506661864e-01,1.479534623217356737e-01,2.925291458867614047e-02,1.875000000000000000e+04,1.986000000000000000e+04,2.082600000000000000e+04,1.926700000000000000e+04
1.006570000000065190e-01,-1.977151958271861076e-03,1.759916311129927635e-03,6.997645497322082520e-01,1.459385617636144161e-03,-1.254245266318321228e-02,-4.083897452801465988e-03,9.999986290931701660e-01,4.713573143817484379e-04,-6.929017836228013039e-04,-1.616208610357716680e-04,1.484401217214340318e-01,1.783967058879471768e-01,1.780678515264779522e-04,1.875000000000000000e+04,1.984100000000000000e+04,2.081800000000000000e+04,1.928000000000000000e+04
1.026300000000046619e-01,-1.971424091607332230e-03,1.709671923890709877e-03,6.997488737106323242e-01,1.404765644110739231e-03,-1.257991231977939606e-02,-3.766635665670037270e-03,9.999986886978149414e-01,7.396358996629714966e-04,-3.791948838625103235e-04,-1.227978355018422008e-04,1.697852080556078169e-01,1.890001483471248911e-01,-2.485095065574894832e-02,1.875000000000000000e+04,1.984700000000000000e+04,2.082600000000000000e+04,1.926100000000000000e+04
1.046500000000232800e-01,-1.971424091607332230e-03,1.709671923890709877e-03,6.997488737106323242e-01,1.404765644110739231e-03,-1.257991231977939606e-02,-3.766635665670037270e-03,9.999986886978149414e-01,7.396358996629714966e-04,-3.791948838625103235e-04,-1.227978355018422008e-04,1.867134583666419934e-01,1.895235427251095450e-01,-6.555860483110077276e-03,1.875000000000000000e+04,1.983400000000000000e+04,2.081800000000000000e+04,1.928000000000000000e+04
1.066189999999478527e-01,-1.965864561498165131e-03,1.659236382693052292e-03,6.997337341308593750e-01,1.374999177642166615e-03,-1.263785175979137421e-02,-3.814771072939038277e-03,9.999983906745910645e-01,1.087277079932391644e-03,-1.595808271304122172e-06,-1.569984015077352524e-04,2.006059047720675781e-01,1.908895113377248043e-01,3.639391473561461032e-02,1.876700000000000000e+04,1.984100000000000000e+04,2.082600000000000000e+04,1.928000000000000000e+04
1.085570000000297963e-01,-1.965864561498165131e-03,1.659236382693052292e-03,6.997337341308593750e-01,1.374999177642166615e-03,-1.263785175979137421e-02,-3.814771072939038277e-03,9.999983906745910645e-01,1.087277079932391644e-03,-1.595808271304122172e-06,-1.569984015077352524e-04,2.259952176033652727e-01,2.120297506498010631e-01,4.598231415125466487e-02,1.873200000000000000e+04,1.982800000000000000e+04,2.082600000000000000e+04,1.928600000000000000e+04
1.105270000000018599e-01,-1.960364868864417076e-03,1.608515507541596889e-03,6.997179388999938965e-01,1.374663785099983215e-03,-1.272236742079257965e-02,-4.087140783667564392e-03,9.999977946281433105e-01,1.503407838754355907e-03,3.934801206924021244e-04,-8.329984848387539387e-05,2.541764553634475177e-01,2.477530106827172673e-01,3.139850280446608664e-03,1.878500000000000000e+04,1.982800000000000000e+04,2.083300000000000000e+04,1.928000000000000000e+04
1.124989999999524981e-01,-1.983258640393614769e-03,1.833747373893857002e-03,7.004858255386352539e-01,1.241621328517794609e-03,-1.144969835877418518e-02,1.355712884105741978e-03,9.999979138374328613e-01,1.418503583408892155e-03,3.850566281471401453e-04,-3.674734762171283364e-05,2.864203453664456167e-01,2.568283146636506920e-01,-3.998690603672740151e-02,1.875000000000000000e+04,1.982800000000000000e+04,2.079700000000000000e+04,1.926700000000000000e+04
1.145200000000186208e-01,-1.978230895474553108e-03,1.787722925655543804e-03,7.004923224449157715e-01,1.272763474844396114e-03,-1.156307011842727661e-02,1.880110707134008408e-03,9.999967217445373535e-01,1.943623879924416542e-03,8.806546684354543686e-04,-5.160989530850201845e-05,3.053001601242898433e-01,2.317981790396206609e-01,-3.157650183382425951e-02,1.876700000000000000e+04,1.980100000000000000e+04,2.085500000000000000e+04,1.926100000000000000e+04
1.164830000000074556e-01,-1.978230895474553108e-03,1.787722925655543804e-03,7.004923224449157715e-01,1.272763474844396114e-03,-1.156307011842727661e-02,1.880110707134008408e-03,9.999967217445373535e-01,1.943623879924416542e-03,8.806546684354543686e-04,-5.160989530850201845e-05,2.995037567222187391e-01,2.105615832303539825e-01,1.498569067765993801e-02,1.879100000000000000e+04,1.980800000000000000e+04,2.081800000000000000e+04,1.929800000000000000e+04
1.184209999999729923e-01,-1.973000820726156235e-03,1.741163549013435841e-03,7.005003690719604492e-01,1.342561445198953152e-03,-1.171695161610841751e-02,2.140467986464500427e-03,9.999948740005493164e-01,2.547381212934851646e-03,1.334246597252786160e-03,-8.577117114327847958e-05,3.116437099723177173e-01,2.227591606285395376e-01,3.130436214052639138e-02,1.876700000000000000e+04,1.982800000000000000e+04,2.080400000000000000e+04,1.929800000000000000e+04
1.203950000000186260e-01,-1.973000820726156235e-03,1.741163549013435841e-03,7.005003690719604492e-01,1.342561445198953152e-03,-1.171695161610841751e-02,2.140467986464500427e-03,9.999948740005493164e-01,2.547381212934851646e-03,1.334246597252786160e-03,-8.577117114327847958e-05,3.530065964428834024e-01,2.516592188563477883e-01,2.428174834656899976e-03,1.876700000000000000e+04,1.980800000000000000e+04,2.081800000000000000e+04,1.931700000000000000e+04
1.223669999999692642e-01,-1.967416377738118172e-03,1.693886471912264824e-03,7.005107998847961426e-01,1.450589508749544621e-03,-1.192276831716299057e-02,3.060786752030253410e-03,9.999923110008239746e-01,3.195864381268620491e-03,1.796711934730410576e-03,-4.373208139440976083e-05,3.750556061874355529e-01,2.612009255679381692e-01,-1.742940937451124828e-02,1.878500000000000000e+04,1.980800000000000000e+04,2.079700000000000000e+04,1.929200000000000000e+04
1.243880000000353869e-01,-1.967416377738118172e-03,1.693886471912264824e-03,7.005107998847961426e-01,1.450589508749544621e-03,-1.192276831716299057e-02,3.060786752030253410e-03,9.999923110008239746e-01,3.195864381268620491e-03,1.796711934730410576e-03,-4.373208139440976083e-05,3.860426437121255994e-01,2.691405411467641673e-01,-1.660522135437517144e-02,1.878500000000000000e+04,1.980800000000000000e+04,2.080400000000000000e+04,1.927400000000000000e+04
1.263530000000027964e-01,-1.961329951882362366e-03,1.645690063014626503e-03,7.005236148834228516e-01,1.592919928953051567e-03,-1.217588782310485840e-02,3.348297206684947014e-03,9.999884963035583496e-01,3.950208891183137894e-03,2.323509193956851959e-03,-7.490665302611887455e-05,3.966170910049350851e-01,2.737739254560408453e-01,-2.046788476358830933e-02,1.878500000000000000e+04,1.980800000000000000e+04,2.081100000000000000e+04,1.929200000000000000e+04
1.282880000000586607e-01,-1.961329951882362366e-03,1.645690063014626503e-03,7.005236148834228516e-01,1.592919928953051567e-03,-1.217588782310485840e-02,3.348297206684947014e-03,9.999884963035583496e-01,3.950208891183137894e-03,2.323509193956851959e-03,-7.490665302611887455e-05,4.036586220851591245e-01,2.718533868359301886e-01,-2.978304385138623445e-02,1.878500000000000000e+04,1.982800000000000000e+04,2.076800000000000000e+04,1.928600000000000000e+04
1.302619999999878875e-01,-1.961329951882362366e-03,1.645690063014626503e-03,7.005236148834228516e-01,1.592919928953051567e-03,-1.217588782310485840e-02,3.348297206684947014e-03,9.999884963035583496e-01,3.950208891183137894e-03,2.323509193956851959e-03,-7.490665302611887455e-05,4.269537249037593241e-01,2.831838722726995883e-01,-1.583066487816354312e-02,1.876700000000000000e+04,1.982100000000000000e+04,2.074600000000000000e+04,1.926100000000000000e+04
